timestamp,gsr,ecg,interval
1776458735149,669,-104,0
1776458735150,669,-156,0
1776458735150,669,-200,0
1776458735150,669,-210,0
1776458735152,669,-210,0
1776458735152,669,-215,0
1776458735153,669,-215,0
1776458735153,669,-208,0
1776458735154,669,-200,0
1776458735155,669,-200,0
1776458735155,669,-195,0
1776458735156,669,-183,0
1776458735156,669,-188,0
1776458735156,669,-188,0
1776458735157,669,-170,0
1776458735157,669,-163,0
1776458735158,669,-163,0
1776458735159,669,-156,0
1776458735159,669,-148,0
1776458735159,669,-148,0
1776458735160,669,-143,0
1776458735160,669,-126,0
1776458735161,669,-121,0
1776458735162,669,-128,0
1776458735162,669,-121,0
1776458735163,669,-106,0
1776458735163,669,-111,0
1776458735164,669,-116,0
1776458735164,669,-109,0
1776458735165,669,-118,0
1776458735165,669,-128,0
1776458735166,669,-116,0
1776458735166,669,-116,0
1776458735167,669,-123,0
1776458735167,669,-121,0
1776458735168,669,-138,0
1776458735169,669,-148,0
1776458735169,669,-121,0
1776458735170,669,-96,0
1776458735170,669,-96,0
1776458735171,669,-91,0
1776458735171,669,-69,0
1776458735172,669,-49,0
1776458735172,669,-54,0
1776458735173,669,-74,0
1776458735173,669,-89,0
1776458735174,669,-96,0
1776458735174,669,-96,0
1776458735175,669,-89,0
1776458735175,669,-99,0
1776458735175,669,-161,0
1776458735176,669,-213,0
1776458735176,669,-2,0
1776458735177,669,448,0
1776458735178,669,480,0
1776458735178,669,24,0
1776458735179,669,-123,0
1776458735179,669,19,0
1776458735180,669,-56,0
1776458735181,669,-188,0
1776458735182,669,-168,0
1776458735182,669,-141,0
1776458735183,669,-163,0
1776458735184,669,-158,0
1776458735184,669,-141,0
1776458735185,669,-143,0
1776458735450,672,-143,0
1776458735451,671,-143,0
1776458735452,669,-143,0
1776458735453,670,-143,0
1776458735454,669,-143,0
1776458735455,669,-143,0
1776458735455,670,-143,0
1776458735456,669,-143,0
1776458735457,669,-143,0
1776458735457,670,-143,0
1776458735730,670,-128,0
1776458735731,670,-113,0
1776458735731,670,-123,0
1776458735732,670,-118,0
1776458735732,670,-101,0
1776458735732,670,-106,0
1776458735733,670,-111,0
1776458735733,670,-96,0
1776458735734,670,-81,0
1776458735734,670,-76,0
1776458735735,670,-64,0
1776458735735,670,-32,0
1776458735736,670,-2,0
1776458735736,670,12,0
1776458735737,670,14,0
1776458735738,670,2,0
1776458735738,670,-17,0
1776458735739,670,-42,0
1776458735739,670,-81,0
1776458735740,670,-128,0
1776458735740,670,-153,0
1776458735741,670,-158,0
1776458735741,670,-166,0
1776458735742,670,-180,0
1776458735742,670,-180,0
1776458735743,670,-166,0
1776458735743,670,-168,0
1776458735744,670,-173,0
1776458735744,670,-170,0
1776458735745,670,-168,0
1776458735745,670,-163,0
1776458735747,670,-158,0
1776458735747,670,-156,0
1776458735748,670,-148,0
1776458735749,670,-133,0
1776458735750,670,-123,0
1776458735751,670,-121,0
1776458735751,670,-116,0
1776458735752,670,-113,0
1776458735753,670,-109,0
1776458735753,670,-99,0
1776458735754,670,-91,0
1776458735754,670,-96,0
1776458735755,670,-104,0
1776458735756,670,-101,0
1776458735756,670,-86,0
1776458735757,670,-79,0
1776458735758,670,-86,0
1776458735758,670,-86,0
1776458735759,670,-74,0
1776458735759,670,-66,0
1776458735760,670,-76,0
1776458735761,670,-81,0
1776458735761,670,-84,0
1776458735762,670,-89,0
1776458735763,670,-89,0
1776458735764,670,-96,0
1776458735764,670,-96,0
1776458735765,670,-74,0
1776458735765,670,-52,0
1776458735766,670,-49,0
1776458735767,670,-39,0
1776458735767,670,-17,0
1776458735768,670,-7,0
1776458735768,670,-37,0
1776458735769,670,-74,0
1776458735770,670,-76,0
1776458735770,670,-56,0
1776458735771,670,-56,0
1776458735771,670,-86,0
1776458735772,670,-138,0
1776458735772,670,-138,0
1776458735773,670,116,0
1776458736270,670,428,0
1776458736271,670,220,0
1776458736272,670,-213,0
1776458736272,670,-183,0
1776458736273,670,0,0
1776458736273,670,-59,0
1776458736273,670,-113,0
1776458736274,670,-86,0
1776458736275,670,-99,0
1776458736275,670,-109,0
1776458736276,670,-91,0
1776458736276,670,-86,0
1776458736278,670,-94,0
1776458736279,670,-89,0
1776458736279,670,-76,0
1776458736280,670,-64,0
1776458736280,670,-66,0
1776458736281,670,-64,0
1776458736281,670,-39,0
1776458736281,670,-24,0
1776458736282,670,-27,0
1776458736282,670,-12,0
1776458736282,670,22,0
1776458736283,670,56,0
1776458736283,670,84,0
1776458736284,670,104,0
1776458736285,670,113,0
1776458736285,670,106,0
1776458736286,670,81,0
1776458736287,670,52,0
1776458736287,670,27,0
1776458736288,670,-14,0
1776458736288,670,-71,0
1776458736289,670,-118,0
1776458736289,670,-143,0
1776458736290,670,-153,0
1776458736290,670,-166,0
1776458736291,670,-180,0
1776458736291,670,-180,0
1776458736292,670,-170,0
1776458736292,670,-166,0
1776458736293,670,-166,0
1776458736294,670,-161,0
1776458736294,670,-146,0
1776458736295,670,-138,0
1776458736295,670,-138,0
1776458736296,670,-141,0
1776458736296,670,-128,0
1776458736297,670,-104,0
1776458736298,670,-94,0
1776458736298,670,-104,0
1776458736299,670,-101,0
1776458736300,670,-89,0
1776458736300,670,-84,0
1776458736301,670,-89,0
1776458736301,670,-96,0
1776458736302,670,-91,0
1776458736302,670,-74,0
1776458736303,670,-74,0
1776458736303,670,-89,0
1776458736304,670,-84,0
1776458736305,670,-81,0
1776458736305,670,-94,0
1776458736306,670,-101,0
